Time,CPU_Usage (%),Memory_Usage (%)
2025-05-22 09:55:12,4.3,53.5
2025-05-22 09:55:15,1.1,53.5
2025-05-22 09:55:16,0.5,53.5
2025-05-22 09:55:18,9.2,53.5
2025-05-22 09:55:19,5.0,53.5
2025-05-22 09:55:20,2.3,53.5
2025-05-22 09:55:21,4.3,53.5
2025-05-22 09:55:22,28.1,53.7
2025-05-22 09:55:23,71.0,53.7
2025-05-22 09:55:24,87.7,54.5
2025-05-22 09:55:25,91.3,55.1
2025-05-22 09:55:26,21.9,55.1
2025-05-22 09:55:28,38.7,55.6
2025-05-22 09:55:29,71.3,56.3
2025-05-22 09:55:30,67.5,56.5
2025-05-22 09:55:31,64.6,57.1
2025-05-22 09:55:32,36.3,57.2
2025-05-22 09:55:33,53.9,57.3
2025-05-22 09:55:34,60.7,57.4
2025-05-22 09:55:35,48.9,56.5
2025-05-22 09:55:36,67.9,56.8
2025-05-22 09:55:38,67.5,57.1
2025-05-22 09:55:39,48.8,57.4
2025-05-22 09:55:40,35.6,57.5
2025-05-22 09:55:41,20.7,57.5
2025-05-22 09:55:42,51.4,57.5
2025-05-22 09:55:43,63.8,57.6
2025-05-22 09:55:44,52.6,57.8
2025-05-22 09:55:45,53.0,58.3
2025-05-22 09:55:48,44.4,58.7
2025-05-22 09:55:50,91.0,58.7
2025-05-22 09:55:51,67.0,58.8
2025-05-22 09:55:52,42.4,58.9
2025-05-22 09:55:53,59.4,59.0
2025-05-22 09:55:54,65.4,59.1
2025-05-22 09:55:55,64.4,59.1
2025-05-22 09:55:56,39.7,59.1
2025-05-22 09:55:58,53.0,59.2
2025-05-22 09:55:59,57.9,59.2
2025-05-22 09:56:00,68.8,59.3
2025-05-22 09:56:01,73.6,59.1
2025-05-22 09:56:02,53.2,59.2
2025-05-22 09:56:03,45.9,59.3
2025-05-22 09:56:04,42.0,59.3
2025-05-22 09:56:05,67.5,59.9
2025-05-22 09:56:06,67.6,61.0
2025-05-22 09:56:07,54.5,61.5
2025-05-22 09:56:08,72.1,61.9
2025-05-22 09:56:09,68.2,62.3
2025-05-22 09:56:10,45.8,62.7
2025-05-22 09:56:11,66.1,63.7
2025-05-22 09:56:12,52.7,64.3
2025-05-22 09:56:13,75.2,64.9
2025-05-22 09:56:14,65.4,65.6
2025-05-22 09:56:15,48.8,65.7
2025-05-22 09:56:16,46.4,65.7
2025-05-22 09:56:17,70.1,66.6
2025-05-22 09:56:18,86.0,68.5
2025-05-22 09:56:19,81.4,70.0
2025-05-22 09:56:20,64.1,70.6
